donor,channel,description,Committed USD,Uncommitted USD,,,,,
Iceland,WFP,Awaiting allocation to specific project/sector,0,"55,000",,,,,
IFRC Disaster Relief Emergency Fund,IFRC,Emergency assistance to affected population,"491,265",0,,,,,
India,Bilateral (to affected government),for immediate emergency relief in quake-devastated Haiti,0,"5,000,000",,,,,
Indonesia,Bilateral (to affected government),"in kind - contingent of humanitarian workers (75 personnel, comprising 30 doctors, 10 rescuers, 10 electricity technicians, 25construction and telecommunication experts); 15 tents, 3 tons of medicine, 5 tons of food, 5 tons of baby and children kits, one ambulance, one truck and water purifying tool (No:044/POL-101/I/10)","1,000,000",0,,,,,
Inter-American Development Bank,Bilateral (to affected government),"Immediate emergency aid to help Haiti deal with the devastating earthquake (to provide food, potable water, medicines and temporary shelter to victims of natural disasters)","200,000",0,,,,,
International Federation of Red Cross and Red Crescent Societies,RC/Haiti,"in kind - 7 Emergency Response Units deployed: 1 Logistics, 1 Rapid Deployment Hospital, 1 IT/Telecom, 2 Relief/Shelter, and 2 Basic Health Care from American RC, Spanish RC, Benelux RC, Norwegian RC, Canadian RC, Swiss RC, French RC, German RC, Finnish RC); 2 Mobile Wat/San Modules deployed (from Spanish RC and French RC); 3,000 family kits already prepositioned in country",0,0,,,,,
International Monetary Fund,Bilateral (to affected government),Emergency assistance to Haiti; to assist it in dealing with the aftermath of the massive and devastating earthquake that has hit the country,0,"100,000,000",,,,,
Iran,RC/Iran,"30 tonnes of humanitarian aid including food, tents and medicine to quake-ridden Haiti",0,0,,,,,
Ireland,"UN Agencies, NGOs and Red Cross",Humanitarian assistance for the recent earthquake in Haiti,0,"2,886,003",,,,,
Ireland,IFRC,Emergency Relief (IFRC 10 01),"360,750",0,,,,,
Ireland Red Cross,Ireland RC,aid to Haiti from its Emergency Relief Fund to deal with the devastating earthquake which struck the country,"36,075",0,,,,,
Ireland Red Cross,Ireland RC,Emergency aid to Haiti,"144,300",0,,,,,
Israel,Bilateral (to affected government),"in kind - a delegation which includes rescue forces, 40 doctors,24 nurses and representatives of the IDF Medical Corps to set up a hospital capable of treating 500 patients",0,0,,,,,
Italy,WHO,in kind - 4 inter-agency emergency health kits (IEHK) without malaria module; 4 Post-exposure prophylaxis kits (PEP) supplementary module,"133,000",0,,,,,
Italy,IFRC,Emergency healthcare programme (MDRHT008),"721,501",0,,,,,
Italy,WFP,To meet the emergency food needs of the populations affected,"738,644",0,,,,,
Japan,Bilateral (to affected government),in kind - emergency medical team,0,0,,,,,
Japan,Bilateral (to affected government),in kind - emergency relief goods,"327,154",0,,,,,
Japan,UN Agencies and NGOs (details not yet provided),Emergency grant aid,"5,000,000",0,,,,,
Jefferies Group Inc,Various,Aviating allocation to specific projects,0,"1,000,000",,,,,
John Deere Foundation,Red Cross,aid recovery efforts in Haiti,0,"250,000",,,,,
Jolie-Pitt Foundation,MSF,Awaiting allocation to specific projects,0,"1,000,000",,,,,
Kellogg Corporation,American RC,Relief efforts,"250,000",0,,,,,
"Korea, Republic of",Bilateral (to affected government),"In-Kind: Relief goods worth $1 million.
The Korea International Cooperation Agency (KOICA) sent five relief workers to Haiti.",0,"1,000,000",,,,,
Kraft Foods Foundation,American RC,To be allocated to specific projects,0,"25,000",,,,,
Kraft Foods Foundation,American RC,Help victims of the earthquake,"25,000",0,,,,,
Lance Armstrong Foundation,PIH,Humanitarian Assistance,"125,000",0,,,,,
Lance Armstrong Foundation,MSF,Humanitarian assistance,"125,000",0,,,,,
Lowe's Cos Inc,American RC,To be allocated to specific projects,0,"1,000,000",,,,,
Lutheran World Relief,LWF,To deliver water containers and purification materials and temporary shelter items.,0,"150,000",,,,,
Luxembourg,Bilateral (to affected government),in kind - search and rescue team (7 dogs + 11 canine search experts) plus 6 civil protection technical staff with localization material to Haiti,"72,150",0,,,,,
Luxembourg,OTM,Emergency relief,"72,150",0,,,,,
Luxembourg,Red Cross,Emergency relief,"72,150",0,,,,,
Luxembourg,CARITAS,Emergency relief,"72,150",0,,,,,
Luxembourg,CARE International,Emergency relief,"144,300",0,,,,,
Luxembourg,WFP,Emergency relief,"290,000",0,,,,,
Major League Baseball,UNICEF,Awaiting allocation to specific projects,0,"1,000,000",,,,,
Mennonite Central Committee,MCC,Immediate needs,"100,000",0,,,,,
Mercy Corps,Mercy Corps,in kind - team to assess what the most pressing needs are in the earthquake-affected areas,0,0,,,,,
Mexico,Bilateral (to affected government),"in kind - 15 to 20 tons of aid a day; hundreds of doctors, rescue workers, engineers and civil protection staff",0,0,,,,,
Mexico,Bilateral (to affected government),"in kind -  45,000 tons of aid to help earthquake-hit Haiti",0,0,,,,,
Mexico,UN Agencies,Assistance to be channeled through UN Agencies,0,"8,000,000",,,,,
Microsoft,Various,Cash and in-kind contributions awaiting allocation to specific projects,0,"1,250,000",,,,,
Monaco,IFRC,Humanitarian assistance (No22.14-201003903),"72,150",0,,,,,
Morocco,Bilateral (to affected government),In kind - medical and pharmaceutical products products,"1,000,000",0,,,,,
Muslim Aid,Muslim Aid,"To provide much needed clean water, emergency shelters, medicines and food aid to the earthquake victims","120,000",0,,,,,
National Bank of Canada,UN Agencies and NGOs (details not yet provided),To be allocated to specific projects,0,"242,520",,,,,
National Basketball Association,Various,Relief efforts for victims,0,"1,000,000",,,,,
National Football League,PIH,Relief and recovery efforts to assist victims of earthquake,0,"500,000",,,,,
National Football League,American RC,Relief and recovery efforts to assist victims of earthquake,0,"500,000",,,,,
NEM Insurance Company,"UN Agencies, NGOs and Red Cross",Awaiting allocation to specific projects,0,"1,000,000",,,,,
Nestle,Various,In kind contribution in bottled water products,0,"1,000,000",,,,,
Netherlands,Bilateral (to affected government),in kind - 60-member team with trained sniffer dogs,0,0,,,,,
Netherlands,"UN Agencies, NGOs and Red Cross",Emergency aid,"2,886,003",0,,,,,
New Zealand,UN Agencies and Red Cross,International relief efforts following the devastating earthquake in Haiti,0,"719,942",,,,,
Nicaragua,Bilateral (to affected government),in kind - special brigade to repair electric power lines that have been damaged by the earthquake;  31 military doctors of the Humanitarian Rescue Unit (URH) and humanitarian aid for the victims,0,0,,,,,
Northern Trust Corporation,American RC,Aid to victims of earthquake,0,"250,000",,,,,
Norway,NRC,in kind - secondments to the UN,"866,551",0,,,,,
Norway,Direktoratet for samfunnssikkerhet og beredskap,in kind - staff support to the UN,"1,126,516",0,,,,,
Norway,Norway RC,Field hospital,"1,213,172",0,,,,,
Norway,NCA,in kind - tents and water equipments,"1,733,102",0,,,,,
Not on our Watch,PIH,Medical services for victims,"1,000,000",0,,,,,
Organization of American States,Bilateral (to affected government),Emergency relief,"100,000",0,,,,,
Pan American Development Foundation,PADF,"in kind -  additional experts to assist in the relief efforts; Shelter kits with tents, tarps, water purification tablets; Emergency relief supplies; Food; Medical supplies; Family tool kits, including shovels; Telecommunications equipment",0,0,,,,,
Panama,Bilateral (to affected government),"in kind - all the infrastructure required for the logistical coordination of cooperation that should be sent to Haiti; cargo plane carrying 22 rescue workers and four sniffer dogs, as well as 15 tons of food and medical supplies.",0,0,,,,,
Pepsi,Various,Aviating allocation to specific projects,0,"1,000,000",,,,,
Peru,Bilateral (to affected government),in kind - 54 tons of food and medicine to Haiti following Tuesday´s major earthquake in the island state,0,0,,,,,
Philippines,Bilateral (to affected government),in kind - send medical teams in the quake-shattered Haiti.,0,0,,,,,
Plan International,Plan,To be allocated to specific projects,"100,000",0,,,,,
Plan UK,Plan UK,"To provide water, food, hygiene packs and counselling to children and adults in the various makeshift camps in Port-Au-Prince, Jacmel and other quake-affected regions of the devastated Caribbean island",0,"1,600,000",,,,,
Poland,Bilateral (to affected government),Group of 54 rescuers as well as 10 specially trained dogs plus 4 tonnes of equipment,0,0,,,,,
Poland,ICRC,Assistance to population affected by earthquake (1/2010),"50,505",0,,,,,
Poland,Bilateral (to affected government),In kind - Humanitarian assistance to the victims of the earthquake through rescue and health personal (2/2010),"1,038,961",0,,,,,
Presbyterian Disaster Assistance,"UN Agencies, NGOs and Red Cross",To be allocated to specific projects,0,"100,000",,,,,
Private (individuals & organisations),NC/USA,Private contribution (Alyssa Milano),"50,000",0,,,,,
Private (individuals & organisations),WFP,Food aid,"114,025",0,,,,,
Private (individuals & organisations),PIH,Humanitarian assistance (from Madonna),"250,000",0,,,,,
Private (individuals & organisations),BA,"Rescue effort in Haiti from British Airways Change for Good programme, which is funded through onboard donations by passengers.","480,000",0,,,,,
Private (individuals & organisations),MSF,Humanitarian assistance (private contribution Sandra Bullock),"1,000,000",0,,,,,
Private (individuals & organisations),American RC,Assistance for relief efforts (private contribution from Giselle Bundchen),"1,500,000",0,,,,,
Procter & Gamble Inc.,Various,Two million packets of PUR water purifier to be distributed through its Children´s Safe Drinking Water partners,0,0,,,,,
Rogers Communications,Various,Support to Partners in Health and other relief organizations,"250,000",0,,,,,
Russian Federation,Bilateral (to affected government),"in kind - Deploy Global Radius technology in the affected region (one cargo aircraft with BO-194 or BK-117 helicopters onboard) to support deployment of field mission of UNDAC and to assess the consequences of the disaster and conduct search, rescue and evacuation operations","700,000",0,,,,,
Safeway Inc,Various,Emergency relief,0,"100,000",,,,,
Safeway Inc,Various,Emergency relief,0,"100,000",,,,,
Save the Children,SC,To be allocated to specific projects,"139,300",0,,,,,
Scotiabank,UN Agencies and NGOs (details not yet provided),To be allocated to specific projects,0,"242,520",,,,,
Singapore,ERF (OCHA),In support of the international communitys humanitarian relief efforts for earthquake-hit Haiti.,0,"50,000",,,,,
Slovenia,IFRC,Emergency relief after earthquake,"72,150",0,,,,,
South Africa,Bilateral (to affected government),Relief effort in Haiti,0,"133,333",,,,,
Spain,Bilateral (to affected government),"in kind - A team of 40 experts in rescue operations and dogs;A plane with a team of doctors and health specialists, and another plane with medical equipment are departing from Madrid on Jan 14. 50T of humanitarian aid (tents, blankets, medical kits, water and sanitation material, etc.)",0,0,,,,,
Spain,Bilateral (to affected government),"Emergency aidHumanitarian assistance to the victims of the earthquake through rescue and health personal and provision and distribution of shelters, hygiene kits, water and complementary supplies,sanitary modules, medicines and medical supplies","4,329,004",0,,,,,
Spanish Red Cross,Spanish RC,"in kind - relief materials kitchen kits, jerry cans, vehicles to facilitate access",0,0,,,,,
State Street Corporation,Oxfam America,Earthquake relief,"400,000",0,,,,,
Suriname,Bilateral (to affected government),"Provide military and police personnel for Haiti; filling four (4) feet container with drinking water, blankets and rice to provide assistance in the initial stages",0,0,,,,,
Sweden,Church of Sweden,emergency operations,0,"278,940",,,,,
Sweden,UN Agencies,"to be allocated to specific agencies, projects,sectors",0,"13,947,001",,,,,
Sweden,MSB,IT experts to assist the UNDAC,"61,848",0,,,,,
Sweden,RC/Sweden,Urgent Relief,"687,202",0,,,,,
Sweden,ERF (OCHA),ERRF for Haiti (OCT 2484),"836,820",0,,,,,
Sweden,MSB,Urgent Relief,"2,370,049",0,,,,,
Switzerland,Bilateral (to affected government),"in kind - dispatched an inter-disciplinary expert team (7 persons) to carry out a needs-assessment and a second team with 10 experts in the fields of water and sanitation, health and shelter. A freight plane with 40 t in-kind urgent humanitarian assistance (shelter material, medicine and medical material, emergency kits) is planned to leave on 15-01-2010.",0,0,,,,,
Switzerland,Bilateral (to affected government),Emergency aid,"1,941,748",0,,,,,
Taiwan (Province of China),Bilateral (to affected government),in kind - rescue team,0,0,,,,,
Taiwan (Province of China),Bilateral (to affected government),Humanitarian assistance,0,"5,000,000",,,,,
Target,American RC,Aviating allocation to specific projects,0,"500,000",,,,,
Thailand,Bilateral (to affected government),Humanitarian fund for Haiti in the wake of the powerful quake,0,"20,000",,,,,
Toyota Motor Corporation,American RC,Aid to victims of earthquake,0,"166,666",,,,,
Toyota Motor Corporation,MSF,Aid to victims of earthquake,0,"166,667",,,,,
Toyota Motor Corporation,SC,Aid to victims of earthquake,0,"166,667",,,,,
Turkey,Turkey RC,"in kind -  dispatched a team to Haiti, comprising an emergency management expert and a psychologist; various humanitarian assistance goods on the ground and distribute them to the people in need.",0,0,,,,,
Tzu Chi Foundation,Bilateral (to affected government),"400,000 packs on instant rice, 30 tons of corn meal, 50,000 blankets, 10,000 boxes bottled water, 150,000 anti-inflammatories, 5,000 body bags, other canned food and medical supplies",0,0,,,,,
UNICEF National Committee/Canada,UNICEF,Humanitarian response (SM099906),"101,156",0,,,,,
UNICEF National Committee/Korea (Republic of),UNICEF,Humanitarian response (SM099906),"500,000",0,,,,,
UNICEF National Committee/Norway,UNICEF,Humanitarian response (SM099906),"34,662",0,,,,,
UNICEF National Committee/United Kingdom,UNICEF,Humanitarian response (SM099906),"320,000",0,,,,,
UNICEF National Committee/USA (US Fund for UNICEF),UNICEF,Humanitarian response (SM099906),"500,000",0,,,,,
Unilever,WFP,Awaiting allocation to specific project/sector,0,"500,000",,,,,
United Arab Emirates,Bilateral (to affected government),Provision of sheltering materials to the people who lost their homes,0,0,,,,,
United Kingdom,Bilateral (to affected government),in kind - 64-strong UK search and rescue team with heavy lifting equipment,0,0,,,,,
United Kingdom,UN Agencies and NGOs (details not yet provided),Humanitarian relief work in Haiti,0,"8,467,168",,,,,
United Kingdom,CHASE OT,Humanitarian Assesment (201483-102),"96,476",0,,,,,
United Kingdom,IFRC,Immediate Humanitarian Relief (201483-107),"1,607,937",0,,,,,
United Nations Foundation,Various,To address urgent humanitarian and reconstruction needs,"1,000,000",0,,,,,
United States of America,Bilateral (to affected government),"in kind - teams including up to 72 people, six search and rescue dogs and up to 48 tons of rescue equipment; USAID disaster experts who will help assess the situation in Haiti.",0,0,,,,,
United States of America,"UN Agencies, NGOs and Red Cross",Earthquake relief efforts in Haiti (unallocated balance from orig pledge of US$100 mn.),0,"45,400,428",,,,,
United States of America,USAID,Administrative costs,"49,572",0,,,,,
United States of America,USAID,Initial assistance for the implemetnation of an emergency response program,"50,000",0,,,,,
United States of America,USDHHS,Health (USAID/OFDA),"13,000,000",0,,,,,
United States of America,WFP,Food aid,"18,000,000",0,,,,,
United States of America,USFEMA,Search and rescue (USAID/OFDA),"23,500,000",0,,,,,
UPS Foundation,"UN Agencies, NGOs and Red Cross",In-kind services for shipment of needed supplies,"500,000",0,,,,,
UPS Foundation,"UN Agencies, NGOs and Red Cross",Relief supplies,"500,000",0,,,,,
Uruguay,Bilateral (to affected government),in kind - rescue team of 5 military staff and 5 specialized canines,0,0,,,,,
Venezuela,Bilateral (to affected government),"in kind -  C-130 plane with 49 people on board and 14 tons of tools, medicine, potable water, and non-perishable food items; a team of doctors, rescue workers, military and firemen to help with the search and rescue efforts",0,0,,,,,
Verizon Foundation,WV,Aid for the victims of earthquake,"50,000",0,,,,,
Verizon Foundation,Food for the Poor,Aid for the victims of earthquake,"50,000",0,,,,,
Vodafone Foundation,BRCS,"Support immediate needs, including clean water, sanitation, healthcare and shelter","40,000",0,,,,,
Walmart Foundation,American RC,in kind - pre-packaged food kits,"100,000",0,,,,,
Walmart Foundation,American RC,Emergency relief efforts in Haiti,"500,000",0,,,,,
Walt Disney Corporation,American RC,Humanitarian aid,"100,000",0,,,,,
Wells Fargo & CO,American RC,To be allocated to specific projects,0,"100,000",,,,,
Western Union Foundation,"UN Agencies, NGOs and Red Cross",To be allocated to specific projects,0,"250,000",,,,,
World Bank,Bilateral (to affected government),Emergency aid,0,"100,000,000",,,,,